color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Rand
1,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,6,0.1874703262
1,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,0.1009136948
1,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7,0.7209356874
1,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6,0.493170667
0,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,0.9792742135
0,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,0.6171025857
1,6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,0.3439094808
1,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,0.9541114159
1,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8,0.9548346065
0,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,0.9648218243
1,7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,0.5474299018
1,6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5,0.4301946023
1,7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5,0.0164819418
1,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,0.8167391375
0,7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6,0.3952037615
1,6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,0.7824850082
0,15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,0.9458248867
0,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,0.5972147833
1,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,0.1199772689
1,8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,8,0.1922622474
0,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,0.8229609744
1,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,0.1690960603
1,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,0.638623049
1,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5,0.9624144067
1,6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6,0.0471998213
1,6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7,0.2159419693
0,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,0.1929393632
1,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5,0.3889251279
1,6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6,0.583927124
1,8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5,0.3000825169
1,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,0.9919288307
1,7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6,0.4694964034
1,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,0.9699394212
1,6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6,0.0722600685
0,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,0.3298128017
1,5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5,0.3807358965
1,7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7,0.1510425746
0,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,0.6633459597
1,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5,0.047118319
1,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5,0.8344824773
1,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6,0.6387987223
1,6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,7,0.6353988829
0,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7,0.6017077912
1,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,0.4297091377
1,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,0.7246731287
1,6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6,0.6332499012
1,7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6,0.7556064357
1,7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,0.0673028338
0,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,0.9920399217
1,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,0.6440303295
1,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,0.5859810596
1,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7,0.8578800538
1,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.9666666667,7,0.5000900852
1,6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,0.6988196583
1,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7,0.4125333116
0,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,0.7029578867
1,6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,0.3336778576
1,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,0.3326399992
0,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,0.7244022032
1,7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,7,0.6281319773
1,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,0.3558083076
1,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,0.1395744001
1,5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,6,0.6996756177
0,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,0.6650820691
0,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,0.38924585
1,6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5,0.9348345601
0,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,0.0578263169
1,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,0.2706083821
0,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6,0.4382068748
1,7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,0.9853538943
1,6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6,0.111729915
1,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5,0.6471390275
0,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,0.5452521846
1,7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5,0.9618784024
1,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,0.2713969345
1,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4,0.0593890534
0,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,0.8318082851
0,7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,0.7025552453
0,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,0.1656089728
1,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,0.4290518221
1,8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5,0.7422488492
1,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,0.6769881251
0,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5,0.9418680002
1,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,0.0774673033
1,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,0.5540364964
1,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,0.5397567463
1,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,0.6373263958
1,6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6,0.4868113939
1,6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6,0.1678585082
0,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,0.5432381644
1,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,0.0364030635
1,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,0.8016813109
1,6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,0.7906829789
1,8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,6,0.4965263605
1,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,0.004112757
1,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7,0.7939176953
1,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,0.6113537073
1,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,0.6917337805
0,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,0.1792134775
0,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,0.3272028321
1,6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7,0.0775437288
1,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8,0.6399525348
1,7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6,0.6782407628
1,6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,7,0.2936678429
1,5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6,0.7305019537
0,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,0.0337587518
1,7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5,0.5050726619
0,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,0.4675853197
1,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,0.4403045315
0,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,0.5565276891
0,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,0.2147917326
1,7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5,0.227700308
1,7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6,0.2843274937
0,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,0.4340336737
0,9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,0.1329974881
1,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6,0.536518038
0,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,0.4849715785
1,6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7,0.4274258742
1,6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7,0.9984794303
1,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,0.890799121
1,6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,6,0.9707807023
1,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,0.4484962099
1,7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6,0.304030776
1,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6,0.9162039999
0,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,0.5878122512
1,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6,0.8518582112
1,6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,7,0.4088613486
0,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,0.5830671364
1,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,0.3057130249
0,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,0.452499235
1,7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5,0.8462487699
1,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,0.2251886891
1,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6,0.3336353854
0,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,0.5404254822
1,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4,0.0191025839
0,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,0.8274002541
1,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,0.9684888942
1,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7,0.1396455755
1,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,0.6847759059
1,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,0.365207552
1,6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5,0.7600928189
1,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7,0.5503302258
1,6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,0.3472253513
1,6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,0.6358379633
1,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,0.5785831306
1,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5,0.0200974159
1,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,0.7174197203
1,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5,0.2123755405
0,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,0.3743152888
1,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6,0.7383182435
1,8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,7,0.0670590012
1,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,0.8807609442
1,8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,0.1650991549
1,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,0.615783928
1,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,0.9358053994
1,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6,0.8091400445
1,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6,0.3167470482
1,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,0.9121478533
1,7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,0.4661353147
0,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,0.9509576194
1,6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6,0.5068094225
1,8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5,0.6411416379
0,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,0.8857326966
0,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,0.2268514452
1,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,0.0852688265
1,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6,0.4468496556
1,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5,0.8148861106
1,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,0.5093846708
1,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6,0.6500166822
1,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,0.0518047102
1,7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6,0.2493356287
1,6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6,0.3140064944
1,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,0.9672584443
0,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,0.4948601534
1,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6,0.8719510424
1,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7,0.479563189
1,8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,0.2160024196
0,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,0.5986859582
1,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5,0.3356525353
0,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7,0.856399992
0,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,0.9054210924
0,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,0.0755370874
0,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6,0.3977203302
1,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,0.5982628213
1,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,0.5554020971
1,6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6,0.6642510609
0,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,0.5732007485
1,9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,0.6232421712
1,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7,0.819329086
1,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,0.6115457374
1,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,0.4533630491
0,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,0.4351854532
1,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,0.5588928415
1,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3,0.5672202681
1,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,0.7952438118
1,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,0.7897284974
1,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7,0.0383398309
1,7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,0.8989594169
1,6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6,0.0428437267
1,6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.5333333333,5,0.7374135549
0,6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,0.2015703919
0,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,0.8625714525
1,5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6,0.8402354296
1,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,0.8484079917
0,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,0.902862197
1,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,0.7022334067
1,6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6,0.5760233279
1,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,0.2233665374
1,7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,0.0638919808
0,6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5,0.8822058972
1,6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,0.1287609143
1,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,0.5410895254
1,7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,0.9829146676
1,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,0.4955004479
0,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,0.9994645547
1,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7,0.2518599185
0,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,0.6179942554
1,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,0.3459250748
1,6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5,0.848209884
1,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,0.3698964866
1,7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6,0.5406114864
0,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,0.2947135505
1,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.2666666667,7,0.6899673853
1,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5,0.4966331453
0,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,0.5475092963
1,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,0.8427987753
0,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,0.3616198695
